ID,Start time,Completion time,Email,Name,What is your business trading name?,Street address,Suburb,State,Postcode,Business phone number,Business email ,Website,Instagram,Facebook,Twitter,YouTube,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Type of business,"Describe your business, product or service",Delivery,Takeaway,Online sales,lat_long
,,,,,TaxPlus Accountants & Advisors,52 Soldiers Parade,Edmondson Park,NSW,2174,02 8084 2261,info@taxplusaccountants.com.au,www.taxplusaccountants.com.au,,,,,y,y,y,y,y,y,,"Administrative, financial and legal","Taxation, Accounting, Business Advisory & Consulting Services",,,,"-33.9709568, 150.8591884"
,,,,,The Doughnut Mum,Shop 10/1 Sappho Rd,Warwick Farm,NSW,2170,0435 070 653,contact@thedoughnutmum.com.au,www.thedoughnutmum.com.au,https://www.instagram.com/thedoughnutmum,https://www.facebook.com/444794199658447,,,y,,y,y,y,y,y,Eateries and catering,"Doughnuts, coffee and cold drinks available for pick-up or delivery.",,,,"-33.9085926, 150.9390975"
,,,,,Three Brothers Bakery,"Shop 10, 38 Moore Street Liverpool",Liverpool,NSW,2170,02 9600 9395,,,,,,,y,y,y,y,y,,,Eateries and catering,Manoush Lebanese bakery,,,,"-33.922747, 150.925036"
,,,,,Tony Mustafa Smartline Personal Mortgage Adviser,,Middleton Grange,NSW,2171,0404 433 111,tmustafa@smartline.com.au,www.smartline.com.au/tmustafa,,www.facebook.com/tonymustafasmartline,,,y,y,y,y,y,,,"Administrative, financial and legal","Local mortgage broker, loans and finance services",,,,"-33.915, 150.842"
,,,,,Vine & Grind,Level 2 - Westfield Liverpool,Liverpool,NSW,2170,02 9734 7117,Lisa@vineandgrind.com.au,www.vineandgrind.com.au,,,,,y,y,y,y,y,y,y,Eateries and catering,"Brunch, breakfast, lunch, dinner, desserts and share platters, available for pick-up or delivery",y,y,,"-33.9192132, 150.9237809"
,,,,,1A Design,"Suite 2, Level 1, 233 Macquarie St",Liverpool,NSW,2170,0402 412 400,contact@1adesign.com.au,www.1adesign.com.au,,,,,y,y,y,y,y,,,"Retail, gifts and beauty services",Offers laser cut and engraving services.,,,,"-33.9231694, 150.9234244"
,,,,,African Heritage,16 Railway Street,Liverpool,NSW,2170,02 8798 4412,Dupeosimen@yahoo.com,,,,,,y,y,y,y,y,y,,"Retail, gifts and beauty services",African grocery and beauty and hair products supplier,,,,"-33.9245481, 150.926171"
,,,,,Aladin's Chirag,,Liverpool,NSW,2170,0426 557 555,admin@aladinschirag.com.au,www.aladinschirag.com.au,,https://www.facebook.com/myaladinschirag,,,y,y,y,y,y,y,,Delivery services,Home delivery service 6 days a week. Customers can order any time of day and select available delivery schedule suitable for them.,,,,"-33.9285567, 150.9179595"
,,,,,Anthonys Music,89/91 Moore Street,Liverpool,NSW,2170,02 9602 4243,,www.anthonysmusic.com.au,,,,,y,y,y,y,y,y,y,"Retail, gifts and beauty services","Instrument and music equipment for sale instore and online, instrument repairs and music tuition.",,,,"-33.9222753, 150.9232863"
,,,,,BabySafe Liverpool,54 Congressional Drive,Liverpool,NSW,2170,0428 433 229,rebecca@babysafechildrestraints.com.au,www.babysafechildrestraints.com.au,,https://www.facebook.com/babycleansouthwestsydney/,,,y,y,y,y,y,y,y,Children and family services,Baby and child car seat installations and pram and seat cleaning.,,,,"-33.9375729, 150.9180762"
,,,,,Blackrose,"1/170 George St, Liverpool",Liverpool,NSW,2170,02 9821 4600,Enquiries@blackrosecafe.com.au,www.blackrosecafe.com.au,,,,,,,y,y,y,y,y,Eateries and catering,"Pizza, pasta , mains, wines, sauces , catering",,,,"-33.9220627, 150.9251925"
,,,,,Building Design Sydney,,Liverpool,NSW,2170,0432 147 405,buildingdesignsydney@gmail.com,,,,,,y,y,y,y,y,,,Architecture and planning services,Complete building design service.,,,,"-33.9285567, 150.9179595"
,,,,,Bun Me Baguette,Unit 1/142 Macquarie Street,Liverpool,NSW,2170,0431 882 170,bmbliverpool@gmail.com,,,,,,y,y,y,y,y,y,,Eateries and catering,"Authentic Vietnamese foods and fresh juice bar, available for pick-up or delivery.",,,,"-33.9206366, 150.9242649"
,,,,,Cake in a Box,,Moorebank,NSW,2170,,Info@cakeinabox.com.au,www.cakeinabox.com.au,Www.instagram.com/cakeinaboxsyd,www.Facebook.com/cakeinaboxsyd,,,y,y,y,y,y,y,,"Retail, gifts and beauty services",Online cake and gift box next-day Sydney-wide delivery service.,y,,,"-33.9397082, 150.9249864"
,,,,,COMAI Vietnamese GF Spring Rolls,,Chipping Norton,NSW,2170,0432 490 247,maria@comai.com.au,,,,,,y,y,y,y,y,,,Eateries and catering,Vietnamese gluten-free spring rolls made fresh using locally sourced ingredients.,,,,"-33.911, 150.959"
,,,,,Dolceroma,"Unit 10-11b, 9 Lyn Parade",Prestons,NSW,2170,02 9826 0055,sales@dolceroma.com.au,www.dolceroma.com.au,,,,,y,y,y,y,y,,,Groceries and wholesalers,Manufacturer and wholesaler of cafe style sweets and pastries.,,,,"-33.9306073, 150.8862904"
,,,,,Envious Solutions,,West Hoxton,NSW,2171,0416 082 184,melita@envioussolutions.com.au,www.envioussolutions.com.au,www.instagram.com/melitavalcich,www.facebook.com/envioussolutions,,,y,y,y,y,y,,,Creative service,"Digital marketing - support with Facebook and Instagram strategies and management, sales funnels, ad campaigns, lead generation, online courses, marketing strategies, copywriting and graphic design.",,,,"-33.93569, 150.8308"
,,,,,Ever Clean Carpet Care,Bumbera Street,Prestons,NSW,2170,1300 965 543,info@everteam.com.au,everteam.com.au,https://instagram.com/everteam_?igshid=1tgly84x7dl7y,,,,y,y,y,y,y,y,,Trade services,"Carpet and upholstery cleaning, tile and grout, pest control",,,,"-33.9482152, 150.8543334"
,,,,,Exercise 101,,,,,0411 036 358,admin@exercise101.com.au,www.exercise101.com.au,https://instagram.com/exercise_1o1?igshid=1k8pazkhmrpjm,https://m.facebook.com/exercise101/,,,y,y,y,y,y,,,Fitness,"Online fitness coatching, personal training and group classes.",,,,"-33.92246, 150.9254"
,,,,,Express Autoglass,,West Hoxton,NSW,2171,0450 234 905,info@expressautoglass.com.au,www.expressautoglass.com.au,,https://www.facebook.com/ExpressAutoglassSydney/,,,y,y,y,y,y,y,y,Auto service,"Mobile automotive glass replacement and repairs, windscreens and doorglass.",,,,"-33.93569, 150.8308"
,,,,,Extreme Auto Electrical,"69 Hoxton Park Road,",Liverpool,NSW,2170,02 9601 6360,extremeautoelec@optusnet.com.au,,,,,,y,y,y,y,y,y,,Auto service,Auto electrical services.,,,,"-33.9275028, 150.9095992"
,,,,,Food Treasure Café,278 George Street,Liverpool,NSW,2170,0424 538 351,food.treasure@yahoo.com,www.foodtreasure.com.au,,,,,y,y,y,y,y,y,,Eateries and catering,Offers a Halal all-day breakfast and lunch with delicious menu choices.,,,,"-33.9247409, 150.9246109"
,,,,,Grand Cru and Mates,2/2 Melito Court,Prestons,NSW,2170,0470 707 443,wine@grandcruandmates.com.au,www.grandcruandmates.com.au,,,,,y,y,y,y,y,,,Groceries and wholesalers,French wine specialist.,,,,"-33.9394664, 150.872638"
,,,,,Growth Psychology Consulting,"Level 2, Suite 4, 224-238 George St",Liverpool,NSW,2170,1300 659 067,info@growthpsychologyconsulting.com.au,www.growthpsychologyconsulting.com.au,,,,,y,y,y,y,y,y,,Health,"Offers psychological  counselling sessions , Private , Doctors referrals , couples, NDIS , Workcover, CTP, court reports.",,,,"-33.9232975, 150.9249717"
,,,,,Holsworthy Preschool,2 Light Horse Parade,Holsworthy,NSW,2173,02 9825 1859,preschool@holsworthypreschool.com.au,www.holsworthypreschool.com.au,,,,,y,y,y,y,y,,,Education or training service,Offers quality Education and Care for children aged 3-5yrs,,,,"-33.9589844, 150.95378"
,,,,,Hydraulica,,Moorebank,NSW,2170,0402 690 000,info@hydraulica.com.au,www.hydraulica.com.au,,,,,y,y,y,y,y,y,y,Trade services,"Licensed, qualified and insured plumbers and drainers.",,,,"-33.9397082, 150.9249864"
,,,,,Hype Studio,6/89 Jedda Road,Prestons,NSW,2170,0404 110 811,support@hypestudio.com.au,www.hypestudio.com.au,,,,,y,y,y,y,y,,,Creative service,Hype Studio offers online marketing such as Google ads and SEO. Hype Studio also offers graphics and web design as well as logos and website hosting solutions.,,,,"-33.9329385, 150.8780281"
,,,,,Infinity Shoes,11 Contour Road,Austral,NSW,2179,0430 453 501,,www.infinityshoes.com.au,,,,,y,y,y,y,y,y,y,"Retail, gifts and beauty services",Infinity Shoes offers high-quality hand-made leather school shoes.,,,y,"-33.945175, 150.80174"
,,,,,Iogha Mental Health Services,"Level 1, Suite 6/259 Bigge St",Liverpool,NSW,2170,0468 408 415,wendy.iogha@outlook.com,,,https://www.facebook.com/ioghamentalhealthservices,,,y,,,,y,,,Health,"Mental health and addiction support services, Medicare bulk-billed with GP referral.",,,,"-33.9245287, 150.9264095"
,,,,,Kids Guardian Angel,45 Dunbier Avenue,Lurnea,NSW,2170,02 9607 9608,kidsguardianangel@outlook.com,www.guardianangel.com.au,,,,,y,y,y,y,y,,,Children and family services,Provide education and training services for children aged from 6 weeks to 5 years old.,,,,"-33.9317723, 150.8995117"
,,,,,KRGS Doors Pty Limited,8 Enterprise Circuit,Prestons,NSW,2170,02 9608 9888,drew@krgsdoors.com.au,www.krgsdoors.com.au,,https://www.facebook.com/krgsdoors,,https://www.youtube.com/channel/UCDdU-msvNZAM4ubVNo9b6PQ,y,y,y,y,y,,,Trade services,"Offers door solutions including commercial roller grilles, steele and aluminium roller shutters, polycarbonate roller shutters, shop front bi-fold doors and folding enclosures, sales, service and repairs.",,,,"-33.9381049, 150.8854252"
,,,,,Lifestyle Care and Support,6B Earl Place,Cecil Hills,NSW,2171,0470 555 3820,Lifestyle.cs@hotmail.com,,,,,,y,y,y,y,y,,,Health,Lifestyle Care and Support is an NDIS registered provider. We offer service to clients to meet their needs.,,,,"-33.8890729, 150.8570328"
,,,,,Lingel,Unit 2/26 Kelso Crescent,Moorebank,NSW,2170,02 9600 9999,info@lingel.com.au,www.lingel.com.au,,,,,y,y,y,y,y,,,Trade services,"Offers plastic fabrication, laser cutting, sneeze guards and products cut to size.",,,,"-33.930913, 150.93779"
,,,,,Liverpool Alterations and Repairs,63 Moore Street,Liverpool,NSW,2170,02 9734 0600,Liverpoolalteration@gmail.com,,,,,,y,y,y,y,y,y,"Monday-Saturday, 9am-4pm","Retail, gifts and beauty services",Clothing alterations and repairs.,,,,"-33.9224595, 150.9239956"
,,,,,MarkitUP,600 Cowpasture Rd,Len Waters Estate,NSW,2171,0433 790 782,nhi@markitup.com.au,www.markitup.com.au,,www.facebook.com/markitupeducation,,,y,y,y,y,y,y,,Education or training service,Quality live tuition for students in Year 2 to Year 12 in Mathematics and English,,,,"-33.9075053, 150.8541213"
,,,,,Marrickville Freezers Foodservice,362 Newbridge Rd,Moorebank,NSW,2170,02 9572 5888,Helena@narrickvillefreezers.com.au,www.marrickvillefreezers.com.au,,https://www.facebook.com/MarrickvilleFreezers/,,,y,y,y,y,y,,,Groceries and wholesalers,Home food packs delivered to your door.,,,,"-33.930561, 150.9363098"
,,,,,Mistafog,,,,,1300 244 800,info@mistafog.com.au,www.mistafog.com.au,,www.facebook.com/mistafog,,www.youtube.com/user/MistaFog,y,y,y,y,y,,,Trade services,"Misting systems for outdoor cooling, air conditioner pre-cooling & misting special effects.",,,,"-33.92246, 150.9254"
,,,,,Moore Coffee,1 Moore Street,Liverpool,NSW,2170,,hello@moorecoffee.com.au,,,,,,y,y,y,y,y,,,Eateries and catering,"Coffee, jaffles and pastries for pick-up from their hole-in-the-wall café.",,,,"-33.922662, 150.926629"
,,,,,My  Tandoori Indian Restaurant,Shop 6 /170 Green Valley Rd,Green Valley,NSW,2168,02 9608 8023,,,,,,,,y,y,y,y,y,y,Eateries and catering,Delicious authentic Indian food cooked fresh every day.,,,,"-33.9030783, 150.8693654"
,,,,,Nereids Aquatic Coaching,,,,,0415 914 443,info@nereids.com.au,www.nereids.com.au,https://www.instagram.com/nereids_aquatic_coaching/,https://www.facebook.com/pg/nereidsaquaticcoaching,,,y,y,y,y,y,y,y,Education or training service,Private swimming lessons for kids and adults in home swimming pools such as backyards and apartment pools in Liverpool area.,,,,"-33.92246, 150.9254"
,,,,,Pearl Care Services,"Level 2, 215-219 George Street",Liverpool,NSW,2170,1300 073 275,info@pearlcareservices.com.au,www.pearlcareservices.com.au,,,,,y,y,y,y,y,y,,Health,Offers high quality specialised services to people with disabilities and those in need of NDIS support.,,,,"-33.9232302, 150.92452"
,,,,,Plaza Wash,158 Northumberland Street,Liverpool,NSW,2170,0434 366 630,plazawash2145@gmail.com,www.plazawash.com.au,,,,,y,y,y,y,y,y,y,Auto service,Car wash and detailing,,,,"-33.9211087, 150.9230474"
,,,,,Showcard Mounting and Die Cutting,"Unit 1D, 43 Riverside Road",Chipping Norton,NSW,2170,0411 208 175,sales@showcardmounters.com.au,www.showcarddisplays.com.au,,,,,y,y,y,y,y,,,"Retail, gifts and beauty services",Production of specialist finishing processes for display materials. Specialist production of three-dimensional display materials and packaging.,,,,"-33.9178, 150.9690095"
,,,,,Sulfaro Accountants and Tax Advisors,"Unit 17, Suite 1/633 - 639 Hume Hwy",Casula,NSW,2170,02 9131 6033,admin@sulfaro.net.au,www.sulfaro.net.au,,https://www.facebook.com/sulfaroaccountants/,,,y,y,y,y,y,,,"Administrative, financial and legal",Experienced and professional accountancy firm with over 25 years experience.,,,,"-33.9547758, 150.8920151"
,,,,,Swim 2 Me,6/200 Hoxton Park Road,Prestons,NSW,2170,0419 632 050,swim2me.prestons@hotmail.com,,,https://www.facebook.com/swim2meprestons/,,,y,y,y,y,y,y,,Education or training service,Learn to swim classes.,,,,"-33.9275053, 150.8953311"
,,,,,Sydney Foot Clinic,"Shop 14, 42 Stockton Avenue",Moorebank,NSW,2170,02 9601  6886,sydneyfootclinic@gmail.com,www.sydneyfootclinic.net.au,,,,,y,,y,,y,,,Health,"Provides a complete range of podiatry services to clients of all ages. From gait and biomechancial assessment to general foot care, orthotics and minor surgery.",,,,"-33.9335286, 150.948643"
,,,,,Sydney Murugan Stores,44-48 Memorial Avenue,Liverpool,NSW,2170,02 9602 2317,sms.aussie@gmail.com,,,,,,y,y,y,y,y,y,y,"Retail, gifts and beauty services",Sales of Indian groceries and spices. Also imports flowers and wedding garlands.,,,,"-33.9247919, 150.9213223"
,,,,,The Camera Crew,,Liverpool,NSW,2170,0406 372 222,ido@thecameracrew.com.au,www.thecameracrew.com.au,,,,,y,y,y,y,y,y,,Creative service,"Offering wedding, commercial and real estate photography and videography.",,,,"-33.9285567, 150.9179595"
,,,,,The Graff Group,,Hammondville,NSW,2170,1300 047 233,dgraff@graffgroup.com.au,www.graffgroup.com.au,,,,,y,y,y,y,y,y,,Trade services,Building and construction repairs - NDIS provider.,,,,"-33.9522602, 150.9601708"
,,,,,The Office,"Shop 1, 10-12 Railway Street, Liverpool",Liverpool,NSW,2170,02 9602 7777,Doris@theofficeliverpool.com.au,www.theofficeliverpool.com.au,,,,,y,y,y,y,y,,,Eateries and catering,Café style food offering light meals and great coffee.,,,,"-33.9244965, 150.9260526"
,,,,,Ultim8 Fitness,"Unit 23, 85-115 Alfred Road",Chipping Norton,NSW,2170,0452 284 888,info@u8fitness.com,www.u8fitness.com,www.instagram.com/U8FGYM,www.Facebook.com/U8FGYM,,,,,,,,,,Fitness,Live and pre-recorded online fitness and meditation classes.,,,,"-33.922271, 150.958653"
,,,,,Ultimate Arbor Solutions,,Holsworthy,NSW,2173,0413 369 697,Info@ultimatearbor.com.au,www.ultimatearbor.com.au,,,,,y,y,y,y,y,,,Outdoor and gardening services,"Tree maintenance, management, removal, pruning, and stump grinding.",,,,"-33.9565362, 150.9498811"
,,,,,UNIWIPER,,,,,0468 444 415,support@uniwiper.com.au,www.uniwiper.com.au,,,,,y,y,y,y,y,y,y,Auto service,Premium self-install wiper blades and windscreen wipers for delivery.,,,,"-33.92246, 150.9254"
,,,,,Western Sharpening,,,,,0409 816 875,howardcraig@tpg.com.au,,,https://www.facebook.com/Western-Sharpening,,,y,y,y,y,y,,,Trade services,"Professional mobile sharpening service for restaurants, clubs, cafes including domestic house calls.",,,,"-33.92246, 150.9254"
,,,,,Abbey Timber,41 Heathcote Road,Moorebank,NSW,2170,02 9774 2944,andrew@abbeytimber.com.au,www.abbeytimber.com.au,https://www.instagram.com/abbeytimbersydney/,https://www.facebook.com/AbbeyTimberSydney,,https://www.youtube.com/channel/UChLoUKvzha-39Kym6DZZyfQ,y,y,y,y,y,y,y,Trade services,Specialising in timber flooring & decking,,,,"-33.9386559, 150.9384611"
,,,,,ACEVENT,,West Hoxton,NSW,2171,,acevent@msn.com,,,,,,y,y,y,y,y,y,y,Creative service,Community event/project management. JP service.,,,,"-33.93569, 150.8308"
,,,,,Adorn Laser Clinic,1 Ingham Drive,Casula,NSW,2170,0497 975 999,r.chamma@live.com,www.adornlaserclinic.com.au,,,,,y,y,y,y,y,y,y,"Retail, gifts and beauty services",Laser clinic,,,,"-33.9480532, 150.8997023"
,,,,,Advanced Powder Coating,Unit 3/5 Mitchell Road,Moorebank,NSW,2170,1300 555 055,sales@advancedpowdercoating.com.au,www.advancedpowdercoating.com.au,,,,,y,y,y,y,y,y,,Trade services,"Sand blasting, priming and powder coating for industrial steel,fence, automotive, residential and commercial metals.",,,,"-33.9353869, 150.9376884"
,,,,,Alliance Accounting,"Suite 6, 173-179 Bigge St",Liverpool,NSW,2170,1300 135 918,,www.allianceaccounting.com.au,,,,,y,y,y,y,y,,,"Administrative, financial and legal","Business advisory, taxation, accounting",,,,"-33.9219136, 150.9267945"
,,,,,Australian College of Training and Assessment,32 Terminus Street,Liverpool,NSW,2170,1300 730 830,admin@actacollege.edu.au,www.actacollege.edu.au,,,,,y,y,y,y,y,,,Education or training service,Offers industry training courses.,,,,"-33.9258043, 150.9246286"
,,,,,Australian Dance & Drama Co,Unit 5/333 Newbridge Road,Moorebank,NSW,2170,0416 282 377,debra@austdanceanddrama.com.au,www.austdanceanddrama.com.au,https://www.instagram.com/austdancedrama,https://www.facebook.com/austdancedrama,,,y,y,y,y,y,y,,Education or training service,"A performing arts school in Moorebank offering dance and drama education, voice and piano tuition.",,,,"-33.9295719, 150.9387696"
,,,,,Autism Advisory & Support Service,88 Memorial Ave,Liverpool,NSW,2170,02 9601 2844,info@aass.org.au,www.aass.org.au,,,,,y,y,y,y,y,,,Health,"Provides a range of services to support, advocate, help, educate and guide families that have a family member with autism, as well as the greater community.",,,,"-33.9244613, 150.9158325"
,,,,,Blackjack Merchandising,"Unit 35, 8-10 Barry Road",Chipping Norton,NSW,2170,0412 128 780,,www.bjmerchandising.com.au,,,,,y,y,y,y,y,,,"Retail, gifts and beauty services","Wholesale of all industry, clothing, uniforms and promotional products. Also provide embroidery and printing services.",,,,"-33.9157371, 150.9666435"
,,,,,BOS Realty,2/69 Elizabeth Drive,Liverpool,NSW,2170,0474 747 474,Deanjr@bosrealty.com.au,www.bosrealty.com.au,,https://m.facebook.com/bosrealty/,,,y,y,y,y,y,y,,Real estate and property services,Real estate services if you're thinking of buying or selling.,,,,"-33.9193426, 150.9214184"
,,,,,Boyz & Menz Stylz,Shop 6/249-251 George Street,Liverpool,NSW,2170,0431 518 823,Hussaini8386@yahoo.com,,,,,,y,y,y,y,y,y,y,"Retail, gifts and beauty services",Quality hair cuts in Liverpool.,,,,"-33.9236525, 150.9244386"
,,,,,Centrum Printing,,,,,1300 663 860,sales@centrumprinting.com.au,www.centrumprinting.com.au,,,,,y,y,y,y,y,,,"Retail, gifts and beauty services","An Australian family owned print and packaging manufacturing company. Offers print and finishing services for commercial print, point of sale and packaging products.",,,,"-33.92246, 150.9254"
,,,,,Cucina105,105 Moore Street,Liverpool,NSW,2170,02 9602 1300,cucina105@gmail.com,www.cucina105.com.au,,,,,,y,y,y,y,y,y,Eateries and catering,Italian cuisine for pick-up or delivery.,y,y,,"-33.9221228, 150.9217121"
